,PROCEDIMENTO,Unnamed: 1,VIGÊNCIA,Seg. Odontológica,Seg. Ambulatorial,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3186,HPV - TIPAGEM POR PCR,AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,,,
3187,HPV (VÍRUS DO PAPILOMA HUMANO) - DETECÇÃO DO DNA POR TÉCNICAS DE HIBRIDIZAÇÃO,AMB,HCO,HSO,REF,PAC,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,,,,
3188,"HTLV-I, POR PCR",AMB,HCO,HSO,REF,PAC,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,,,,
3189,"MYCOBACTERIUM TUBERCULOSIS, DETECÇÃO POR PCR",,,AMB,HCO,HSO,REF,PAC,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,,
3190,"MYCOBACTERIUM LEPRAE (BACILO DE HANSEN), DETECÇÃO DE RESISTÊNCIA A ANTIBIÓTICOS POR PCR",480/2022,02/07/2022,AMB,HCO,HSO,REF,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,,
3191,,RN,,,,,,,,,,,
3192,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3193,,(alteração),,,,,,,,,,,
3194,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3195,PCR EM TEMPO REAL PARA VÍRUS SINCICIAL RESPIRATÓRIO (COM DIRETRIZ DE UTILIZAÇÃO),AMB,HCO,HSO,REF,,131,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,,,
3196,,,,,,,,,,TERAPÊUTICOS,,,
3197,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3198,"PROTEÍNA S TOTAL + LIVRE, DOSAGEM",AMB,HCO,HSO,REF,PAC,,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,,,
3199,SARS-CoV-2 (CORONAVÍRUS COVID-19) - PESQUISA POR RT - PCR (COM DIRETRIZ DE UTILIZAÇÃO),,,AMB,HCO,HSO,REF,,126,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,
3200,,,,,,,,,,,,TERAPÊUTICOS,
3201,TESTE PARA DETECÇÃO DO VÍRUS MONKEYPOX (MPXV) POR BIOLOGIA MOLECULAR,,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,
3202,,544/2022,21/09/2022,AMB,HCO,HSO,REF,,157,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,
3203,(COM DIRETRIZ DE UTILIZAÇÃO,,,,,,,,,,,TERAPÊUTICOS,
3204,,,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,
3205,TOXOPLASMOSE - PESQUISA EM LÍQUIDO AMINIÓTICO POR PCR (COM DIRETRIZ DE UTILIZAÇÃO),,,AMB,HCO,HSO,REF,PAC,125,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,
3206,,,,,,,,,,,,TERAPÊUTICOS,
3207,,,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,
3208,VÍRUS ZIKA - POR PCR (COM DIRETRIZ DE UTILIZAÇÃO),,,AMB,HCO,HSO,REF,,111,BIOLOGIA MOLECULAR,PROCEDIMENTOS LABORATORIAIS,,
3209,TRANSFUSÃO AMBULATORIAL,AMB,HCO,HSO,REF,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,,,,,,
3210,TRANSFUSÃO HOSPITALAR,AMB,HCO,HSO,REF,TRANSFUSÃO,MEDICINA TRANSFUSIONAL,,,,,,
3211,PLASMAFÉRESE TERAPÊUTICA - INCLUI CITAFÉRESE/HEMAFÉRESE TERAPÊUTICA,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3212,SANGRIA TERAPÊUTICA,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3213,SANGUE TOTAL RECONSTITUÍDO PARA EXSANGUÍNEO-TRANSFUSÃO,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3214,,,,,,,,TERAPÊUTICOS,,,,,
3215,"UNIDADE DE COMPONENTES SANGÜÍNEOS (CONCENTRADO DE HEMÁCIAS, PLAQUETAS OU",,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3216,,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3217,GRANULÓCITOS) IRRADIADA,,,,,,,TERAPÊUTICOS,,,,,
3218,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3219,UNIDADE DE CONCENTRADO DE GRANULÓCITOS,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3220,,,,,,,,TERAPÊUTICOS,,,,,
3221,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3222,UNIDADE DE CONCENTRADO DE HEMÁCIAS,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3223,UNIDADE DE CONCENTRADO DE HEMÁCIAS LAVADAS,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3224,UNIDADE DE CONCENTRADO DE HEMÁCIAS LEUCODEPLETADA,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3225,,RN,,,,,,,,,,,
3226,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3227,,(alteração),,,,,,,,,,,
3228,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3229,UNIDADE DE CONCENTRADO DE PLAQUETAS LEUCORREDUZIDA,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3230,,,,,,,,TERAPÊUTICOS,,,,,
3231,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3232,UNIDADE DE CONCENTRADO DE PLAQUETAS POR AFÉRESE,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3233,UNIDADE DE CRIOPRECIPITADO,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3234,UNIDADE DE PLASMA FRESCO CONGELADO,AMB,HCO,HSO,REF,PROCESSAMENTO,MEDICINA TRANSFUSIONAL,,,,,,
3235,AFÉRESE TERAPÊUTICA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3236,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3237,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3238,ANTI-HIV I E II POR MÉTODO IMUNOENZIMÁTICO OU QUIMIOLUMINESCÊNCIA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3239,CONTAGEM DE CÉLULAS CD34 / CD45 POSITIVAS,AMB,HCO,HSO,REF,PAC,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,
3240,,,,,,,,,TERAPÊUTICOS,,,,
3241,,,,,,,NO SANGUE DO RECEPTOR,,,,,,
3242,,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,
3243,DETECÇÃO DE HEMOGLOBINAS ANORMAIS (INVESTIGAÇÃO DE HEMOGLOBINA S E DE OUTRAS,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3244,,AMB,HCO,HSO,REF,,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,
3245,HEMOGLOBINAS ANORMAIS NO DOADOR DE SANGUE),,,,,,,,TERAPÊUTICOS,,,,
3246,"DETERMINAÇÃO DO FATOR RH (D), INCLUINDO PROVA PARA D-FRACO NO SANGUE DO RECEPTOR",AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3247,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3248,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3249,DOAÇÃO AUTÓLOGA COM RECUPERAÇÃO INTRA-OPERATÓRIA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3250,DOAÇÃO AUTÓLOGA PERI-OPERATÓRIA POR HEMODILUIÇÃO NORMOVOLÊMICA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3251,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3252,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3253,DOAÇÃO AUTÓLOGA PRÉ-OPERATÓRIA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3254,DOAÇÃO DE COMPONENTES POR AFÉRESE,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3255,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3256,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3257,DOENÇA DE CHAGAS - TESTE IMUNOENZIMÁTICO DE ALTA SENSIBILIDADE E IMUNOFLUORESCÊNCIA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3258,,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3259,RH(D) E PROVA DA ANTIGLOBULINA DIRETA),,,,,,,TERAPÊUTICOS,,,,,
3260,FENOTIPAGEM DE OUTROS SISTEMAS ERITROCITÁRIOS,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3261,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3262,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3263,FENOTIPAGEM DO SISTEMA RH-HR,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3264,,RN,,,,,,,,,,,
3265,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3266,,(alteração),,,,,,,,,,,
3267,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3268,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3269,"HEPATITE C - ANTI-HCV, TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA",AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3270,,,,,,,,TERAPÊUTICOS,,,,,
3271,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3272,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3273,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3274,HTLV I E II - TESTE IMUNOENZIMÁTICO OU POR QUIMIOLUMINESCÊNCIA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3275,,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3276,INCLUI TRATAMENTO ENZIMÁTICO (ELUIÇÃO E GEL),,,,,,,TERAPÊUTICOS,,,,,
3277,"RH (D), INCLUINDO PROVA PARA D-FRACO E PESQUISA E IDENTIFICAÇÃO DE ANTICORPOS SÉRICOS",AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3278,IRREGULARES ANTIERITROCITÁRIOS,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3279,,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3280,QUE INCLUAM UMA FASE ANTIGLOBULÍNICA,,,,,,,TERAPÊUTICOS,,,,,
3281,"MALÁRIA, PESQUISA",AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3282,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3283,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3284,PESQUISA E IDENTIFICAÇÃO DE ANTICORPOS IRREGULARES NO SANGUE DO RECEPTOR,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3285,,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3286,"IRREGULARES (ELUIÇÃO, A FRIO E GEL)",,,,,,,TERAPÊUTICOS,,,,,
3287,PLAQUETAS - PROVA CRUZADA,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3288,,,,,,,,TERAPÊUTICOS,,,,,
3289,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3290,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3291,PROVA DE COMPATIBILIDADE ENTRE AS HEMÁCIAS DO DOADOR E O SORO DO RECEPTOR (PROVA DE,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3292,,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3293,COMPATIBILIDADE MAIOR),,,,,,,TERAPÊUTICOS,,,,,
3294,PROVAS PRÉ-TRANSFUSIONAIS: RETIPIFICAÇÃO ABO E RH DA BOLSA DE SANGUE,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3295,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3296,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3297,SÍFILIS - TESTE TREPONÊMICO OU NÃO-TREPONÊMICO,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3298,TESTE DE COOMBS DIRETO E INDIRETO - INCLUI PESQUISA DE ANTICORPOS E COMPLEMENTO,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3299,,,,,,,,TERAPÊUTICOS,,,,,
3300,,,,,,NO SANGUE DO RECEPTOR,,,,,,,
3301,,,,,,EXAMES DE QUALIFICAÇÃO NO SANGUE DO,,,,,,,
3302,"TIPIFICAÇÃO ABO, INCLUINDO TIPAGEM REVERSA NO SANGUE DO RECEPTOR (SEM TIPAGEM REVERSA",,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3303,,AMB,HCO,HSO,REF,DOADOR OU PROVA PRÉ-TRANSFUSIONAL,MEDICINA TRANSFUSIONAL,,,,,,
3304,ATÉ 4 MESES DE IDADE);,,,,,,,TERAPÊUTICOS,,,,,
3305,,546/2022,03/10/2022,AMB,HCO,HSO,REF,PAC,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,,,
3306,DE POLIMERASE (PCR) - PESQUISA QUANTITATIVA,,,,,,,,,,TERAPÊUTICOS,,
3307,,546/2022,03/10/2022,AMB,HCO,HSO,REF,PAC,PROCEDIMENTOS,MEDICINA TRANSFUSIONAL,,,
3308,(PCR) - PESQUISA QUANTITATIVA,,,,,,,,,,TERAPÊUTICOS,,
3309,,RN,,,,,,,,,,,
3310,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3311,,(alteração),,,,,,,,,,,
3312,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3313,"CARIÓTIPO COM BANDAS, MATERIAL DE ABORTO OU NATIMORTO",AMB,HCO,HSO,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3314,,,,,,,,TERAPÊUTICOS,,,,,
3315,"CARIÓTIPO COM BANDAS, PARA DOENÇAS HEMATOLÓGICAS, SANGUE PERIFÉRICO, TECIDOS LINFÓIDES",,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3316,,AMB,HCO,HSO,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3317,E MEDULA ÓSSEA,,,,,,,TERAPÊUTICOS,,,,,
3318,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3319,"CARIÓTIPO COM BANDAS, SANGUE FETAL",AMB,HCO,,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3320,,,,,,,,TERAPÊUTICOS,,,,,
3321,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,,
3322,"CARIÓTIPO COM BANDAS, SANGUE PERIFÉRICO",AMB,HCO,HSO,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3323,"CARIÓTIPO COM BANDAS, VILOSIDADES CORIÔNICAS",AMB,HCO,HSO,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3324,CARIÓTIPO COM PESQUISA DE TROCA DE CROMÁTIDES IRMÃS,AMB,HCO,HSO,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3325,CARIÓTIPO COM TÉCNICAS DE ALTA RESOLUÇÃO (ESTUDO EM PROMETÁFASE),AMB,HCO,HSO,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3326,"CARIÓTIPO PARA SÍNDROMES DE QUEBRAS CROMOSSÔMICAS, SANGUE PERIFÉRICO",AMB,HCO,HSO,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3327,,AMB,HCO,HSO,REF,CITOGENÉTICA,GENÉTICA,,,,,,
3328,"MUCOSA BUCAL), POR FISH",,,,,,,TERAPÊUTICOS,,,,,
3329,"ESTUDO CITOGENÉTICO PARA DOENÇAS NEOPLÁSICAS MALIGNAS, DIVERSOS MATERIAIS",AMB,HCO,HSO,REF,,,CITOGENÉTICA,GENÉTICA,,,,
3330,,,,,,,,,,TERAPÊUTICOS,,,
3331,ESTUDO DE ALTERAÇÕES CROMOSSÔMICAS EM LEUCEMIAS POR FISH (FLUORESCENCE IN SITU,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3332,,AMB,HCO,HSO,REF,PAC,,CITOGENÉTICA,GENÉTICA,,,,
3333,HYBRIDIZATION),,,,,,,,,TERAPÊUTICOS,,,
3334,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3335,"LÍQUIDO AMNIÓTICO, CARIÓTIPO COM BANDAS",AMB,HCO,,REF,,,CITOGENÉTICA,GENÉTICA,,,,
3336,,,,,,,,,,TERAPÊUTICOS,,,
3337,PESQUISA DE MICRODELEÇÕES/MICRODUPLICAÇÕES POR FISH (FLUORESCENCE IN SITU HYBRIDIZATION),,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3338,,AMB,HCO,HSO,REF,PAC,110,CITOGENÉTICA,GENÉTICA,,,,
3339,- COM DIRETRIZ DE UTILIZAÇÃO,,,,,,,,,TERAPÊUTICOS,,,
3340,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3341,REARRANJO BCL6 3q27 (NHL) FISH,AMB,HCO,HSO,REF,PAC,,CITOGENÉTICA,GENÉTICA,,,,
3342,,,,,,,,,,TERAPÊUTICOS,,,
3343,,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,
3344,REARRANJO 8q24 FISH (MEDULA ÓSSEA),AMB,HCO,HSO,REF,PAC,,CITOGENÉTICA,GENÉTICA,,,,
3345,REARRANJO 8q24 FISH (SANGUE),AMB,HCO,HSO,REF,PAC,CITOGENÉTICA,GENÉTICA,,,,,
3346,"AMINOÁCIDOS URINÁRIOS OU PLASMÁTICOS, ANÁLISE QUANTITATIVA",AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3347,,RN,,,,,,,,,,,
3348,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3349,,(alteração),,,,,,,,,,,
3350,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3351,"DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA 1,4-ALFA-GLICOSIDASE EM FIBROBLASTOS",AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3352,,,,,,,,,TERAPÊUTICOS,,,,
3353,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3354,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ALFA-D-MANOSIDASE EM LEUCÓCITOS E FIBROBLASTOS,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3355,,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3356,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3357,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ALFA-L-FUCOSIDASE EM LEUCÓCITOS OU FIBROBLASTOS,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3358,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ALFA-L-IDURONIDASE EM LEUCÓCITOS OU FIBROBLASTOS,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3359,,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3360,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3361,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ARILSULFATASE A EM LEUCÓCITOS E FIBROBLASTOS,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3362,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ARILSULFATASE B EM FIBROBLASTOS,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3363,,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3364,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3365,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA BETA-GLICOSIDASE EM LEUCÓCITOS OU FIBROBLASTOS,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3366,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA BETA-GLICURONIDASE EM FIBROBLASTOS,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3367,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA ESFINGOMIELINASE EM FIBROBLASTOS,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3368,,,,,,,,,TERAPÊUTICOS,,,,
3369,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA GALACTOCEREBROSIDASE EM LEUCÓCITOS E,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3370,,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3371,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3372,"DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA HEXOSAMINIDASE A E TOTAL EM SORO, LEUCÓCITOS OU",,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3373,,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3374,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3375,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3376,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA IDURONATO 2-SULFATASE EM FIBROBLASTOS,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3377,,,,,,,,,TERAPÊUTICOS,,,,
3378,DETERMINAÇÃO DA ATIVIDADE ENZIMÁTICA DA N-ACETILGALACTOSAMINA-6-SULFATASE EM,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3379,,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3380,FIBROBLASTOS,,,,,,,,TERAPÊUTICOS,,,,
3381,DOSAGEM QUANTITATIVA DE ÁCIDOS GRAXOS DE CADEIA MUITO LONGA PARA O DIAGNÓSTICO DE,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3382,,AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3383,ERROS INATOS DO METABOLISMO (EIM),,,,,,,,TERAPÊUTICOS,,,,
3384,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3385,"GLICOSAMINOGLICANOS URINÁRIOS, DOSAGEM QUANTITATIVA OU ANÁLISE QUALITATIVA",AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3386,,,,,,,,,TERAPÊUTICOS,,,,
3387,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3388,"PORFIRINAS URINÁRIAS OU PLASMÁTICAS, FRACIONAMENTO E QUANTIFICAÇÃO",AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3389,,RN,,,,,,,,,,,
3390,PROCEDIMENTO,,VIGÊNCIA,OD,AMB,HCO,HSO,REF,PAC,DUT,SUBGRUPO,GRUPO,CAPÍTULO
3391,,(alteração),,,,,,,,,,,
3392,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
3393,"TESTES DE ERROS INATOS DO METABOLISMO, QUALITATIVOS, NA URINA",AMB,HCO,HSO,REF,PAC,GENÉTICA BIOQUÍMICA,GENÉTICA,,,,,
3394,,,,,,,,,TERAPÊUTICOS,,,,
3395,"TESTE DUPLO: 1 TRIMESTRE - PROTEÍNA A PLASMÁTICA ASSOCIADA À GESTAÇÃO (PAPP-A), BETA-",,,,,,,,,,,,
3396,,,,,,,,,PROCEDIMENTOS DIAGNÓSTICOS E,,,,
